ISIN,DocumentType,EffectiveDate,DownloadDate,DownloadUrl,FilePath,MD5Hash,FileSize
DE000A2QAYB8,Semi annual report,06/30/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/halbjahresbericht/HJB_1808_CA_Familienstrategie_Bericht_2023-06-30.pdf,../Hansainvest/DE000A2QAYB8/HJB_1808_CA_Familienstrategie_Bericht_2023-06-30.pdf,4a5b0c62dec9a0c97046452f4cfb01d5,1341688
DE000A0KFFU3,Prospectus,01/01/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/verkaufsprospekt/VKP_CH_Global_01_01_2023.pdf,../Hansainvest/DE000A0KFFU3/VKP_CH_Global_01_01_2023.pdf,c7b9ba893341af3b5b64fcf4605f2445,1235273
DE000A0KFFU3,Annual report,12/31/2022,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/jahresbericht/JB_6055_CH_Global_Bericht_2022-12-31.pdf,../Hansainvest/DE000A0KFFU3/JB_6055_CH_Global_Bericht_2022-12-31.pdf,065006892170f6ef9f2b60eed9f44e83,1155911
DE000A0KFFU3,Semi annual report,06/30/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/halbjahresbericht/HJB_6055_CH_Global_Bericht_2023-06-30.pdf,../Hansainvest/DE000A0KFFU3/HJB_6055_CH_Global_Bericht_2023-06-30.pdf,3f2c5602355a364a546b54f0ad3226c0,724826
DE000A3CNF15,Prospectus,01/01/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/verkaufsprospekt/VKP_confido_Fund_01_01_2023.pdf,../Hansainvest/DE000A3CNF15/VKP_confido_Fund_01_01_2023.pdf,bf859d77775681247b9c7def22514a7c,1176477
DE000A3CNF15,Annual report,04/30/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/jahresbericht/Jahresbericht_1829_confido_Fund_Bericht_2023-04-30_Layout_PDF.pdf,../Hansainvest/DE000A3CNF15/Jahresbericht_1829_confido_Fund_Bericht_2023-04-30_Layout_PDF.pdf,1c530958fc5f2cfc41fd95f12edbc2b5,2161007
DE000A3CNF15,Semi annual report,10/31/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/halbjahresbericht/HJB_1829_confido_Fund_2023-10-31.pdf,../Hansainvest/DE000A3CNF15/HJB_1829_confido_Fund_2023-10-31.pdf,31d94e6836c8be6c53e9a94b52b9d9c5,1259640
DE000A2N82T7,Prospectus,01/01/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/verkaufsprospekt/VKP_confido_Fund_01_01_2023.pdf,../Hansainvest/DE000A2N82T7/VKP_confido_Fund_01_01_2023.pdf,bf859d77775681247b9c7def22514a7c,1176477
DE000A2N82T7,Annual report,04/30/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/jahresbericht/Jahresbericht_1829_confido_Fund_Bericht_2023-04-30_Layout_PDF.pdf,../Hansainvest/DE000A2N82T7/Jahresbericht_1829_confido_Fund_Bericht_2023-04-30_Layout_PDF.pdf,1c530958fc5f2cfc41fd95f12edbc2b5,2161007
DE000A2N82T7,Semi annual report,10/31/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/halbjahresbericht/HJB_1829_confido_Fund_2023-10-31.pdf,../Hansainvest/DE000A2N82T7/HJB_1829_confido_Fund_2023-10-31.pdf,31d94e6836c8be6c53e9a94b52b9d9c5,1259640
